IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
146.56.45.187,443,TRUE,ICN韩国首尔,Asia Pacific,Seoul,146 ms,4016 kB/s
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,259 ms,3915 kB/s
8.222.208.38,443,TRUE,SIN,Asia Pacific,Singapore,245 ms,3879 kB/s
193.123.69.77,443,TRUE,CDG巴黎,Europe,Paris,225 ms,3863 kB/s
64.110.104.30,443,TRUE,KIX日本大阪,Asia Pacific,Osaka,229 ms,3851 kB/s
155.248.202.141,443,TRUE,SJC加利福尼亚,North America,San Jose,205 ms,3810 kB/s
8.210.89.245,8443,TRUE,HKG,Asia Pacific,Hong Kong,79 ms,3765 kB/s
8.218.8.142,8443,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,3747 kB/s
47.243.70.186,8443,TRUE,HKG,Asia Pacific,Hong Kong,79 ms,3729 kB/s
8.210.39.96,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,3728 kB/s
47.242.17.250,8443,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,3686 kB/s
47.251.54.234,8443,TRUE,SJC加利福尼亚,North America,San Jose,193 ms,3665 kB/s
64.110.103.222,8443,TRUE,KIX日本大阪,Asia Pacific,Osaka,205 ms,3636 kB/s
138.2.36.157,8443,TRUE,KIX日本大阪,Asia Pacific,Osaka,199 ms,3629 kB/s
8.219.147.58,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,3621 kB/s
8.219.170.232,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,3611 kB/s
8.222.208.38,8443,TRUE,SIN,Asia Pacific,Singapore,232 ms,3571 kB/s
8.219.194.170,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,3564 kB/s
152.70.155.147,8443,TRUE,LAX洛杉矶,North America,Los Angeles,243 ms,3475 kB/s
47.242.232.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,3420 kB/s
8.217.85.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,3331 kB/s
8.210.175.109,2053,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,3262 kB/s
8.217.250.222,2053,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,3233 kB/s
8.218.8.142,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,3111 kB/s
8.210.48.107,2053,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,3024 kB/s
47.243.70.186,2053,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,2972 kB/s
8.222.169.222,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,2866 kB/s
8.219.6.150,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,2809 kB/s
8.222.191.138,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,2763 kB/s
8.219.210.57,2053,TRUE,SIN,Asia Pacific,Singapore,233 ms,2703 kB/s
8.219.11.158,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,2539 kB/s
47.242.234.127,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,2417 kB/s
8.210.48.107,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,2281 kB/s
47.242.17.250,2083,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,2176 kB/s
8.217.250.222,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,2001 kB/s
47.243.70.186,2083,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,1901 kB/s
8.219.40.37,2083,TRUE,SIN,Asia Pacific,Singapore,108 ms,1854 kB/s
8.218.143.10,2083,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,1689 kB/s
8.210.245.224,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,1536 kB/s
8.210.175.109,2083,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,1507 kB/s
8.222.169.222,2083,TRUE,SIN,Asia Pacific,Singapore,242 ms,1241 kB/s
8.222.144.50,2083,TRUE,SIN,Asia Pacific,Singapore,252 ms,899 kB/s
8.219.49.65,2083,TRUE,SIN,Asia Pacific,Singapore,260 ms,806 kB/s
8.222.164.209,2083,TRUE,SIN,Asia Pacific,Singapore,229 ms,802 kB/s
193.123.250.209,2087,TRUE,ICN韩国首尔,Asia Pacific,Seoul,90 ms,660 kB/s
